2022-04-18 02:41:18,360 Epoch 0 | Batch 0/600 | loss 5.300273 | avg_loss 5.300273
2022-04-18 02:41:18,736 Epoch 0 | Batch 10/600 | loss 4.857428 | avg_loss 5.068535
2022-04-18 02:41:20,160 Epoch 0 | Batch 20/600 | loss 4.589180 | avg_loss 4.886753
2022-04-18 02:41:21,749 Epoch 0 | Batch 30/600 | loss 4.411216 | avg_loss 4.750408
2022-04-18 02:41:23,374 Epoch 0 | Batch 40/600 | loss 4.341887 | avg_loss 4.655018
2022-04-18 02:41:24,236 Epoch 0 | Batch 50/600 | loss 4.276596 | avg_loss 4.583346
2022-04-18 02:41:25,657 Epoch 0 | Batch 60/600 | loss 4.216701 | avg_loss 4.527777
2022-04-18 02:41:27,170 Epoch 0 | Batch 70/600 | loss 4.199043 | avg_loss 4.482220
2022-04-18 02:41:28,636 Epoch 0 | Batch 80/600 | loss 4.156152 | avg_loss 4.443535
2022-04-18 02:41:30,037 Epoch 0 | Batch 90/600 | loss 4.144968 | avg_loss 4.408154
2022-04-18 02:41:31,551 Epoch 0 | Batch 100/600 | loss 4.166080 | avg_loss 4.380078
2022-04-18 02:41:32,460 Epoch 0 | Batch 110/600 | loss 4.050596 | avg_loss 4.352693
2022-04-18 02:41:33,846 Epoch 0 | Batch 120/600 | loss 3.932038 | avg_loss 4.324190
2022-04-18 02:41:35,148 Epoch 0 | Batch 130/600 | loss 3.914531 | avg_loss 4.298163
2022-04-18 02:41:36,460 Epoch 0 | Batch 140/600 | loss 3.892856 | avg_loss 4.274214
2022-04-18 02:41:37,839 Epoch 0 | Batch 150/600 | loss 4.010411 | avg_loss 4.253801
2022-04-18 02:41:39,061 Epoch 0 | Batch 160/600 | loss 3.842454 | avg_loss 4.232201
2022-04-18 02:41:40,344 Epoch 0 | Batch 170/600 | loss 3.833922 | avg_loss 4.209179
2022-04-18 02:41:41,058 Epoch 0 | Batch 180/600 | loss 3.852612 | avg_loss 4.188726
2022-04-18 02:41:42,973 Epoch 0 | Batch 190/600 | loss 3.960981 | avg_loss 4.168643
2022-04-18 02:41:44,482 Epoch 0 | Batch 200/600 | loss 3.768128 | avg_loss 4.149984
2022-04-18 02:41:44,852 Epoch 0 | Batch 210/600 | loss 3.926750 | avg_loss 4.132853
2022-04-18 02:41:46,160 Epoch 0 | Batch 220/600 | loss 3.673509 | avg_loss 4.117091
2022-04-18 02:41:47,469 Epoch 0 | Batch 230/600 | loss 3.616533 | avg_loss 4.099386
2022-04-18 02:41:49,157 Epoch 0 | Batch 240/600 | loss 3.873829 | avg_loss 4.085429
2022-04-18 02:41:50,336 Epoch 0 | Batch 250/600 | loss 3.605505 | avg_loss 4.069723
2022-04-18 02:41:51,437 Epoch 0 | Batch 260/600 | loss 3.572749 | avg_loss 4.053397
2022-04-18 02:41:52,749 Epoch 0 | Batch 270/600 | loss 3.661059 | avg_loss 4.041445
2022-04-18 02:41:53,842 Epoch 0 | Batch 280/600 | loss 3.401331 | avg_loss 4.024895
2022-04-18 02:41:54,949 Epoch 0 | Batch 290/600 | loss 3.665973 | avg_loss 4.010679
2022-04-18 02:41:55,341 Epoch 0 | Batch 300/600 | loss 3.520937 | avg_loss 3.998774
2022-04-18 02:41:56,937 Epoch 0 | Batch 310/600 | loss 3.501065 | avg_loss 3.987046
2022-04-18 02:41:58,364 Epoch 0 | Batch 320/600 | loss 3.427411 | avg_loss 3.974190
2022-04-18 02:41:59,970 Epoch 0 | Batch 330/600 | loss 3.589220 | avg_loss 3.963352
2022-04-18 02:42:01,856 Epoch 0 | Batch 340/600 | loss 3.544456 | avg_loss 3.952594
2022-04-18 02:42:02,162 Epoch 0 | Batch 350/600 | loss 3.547031 | avg_loss 3.940352
2022-04-18 02:42:03,451 Epoch 0 | Batch 360/600 | loss 3.630651 | avg_loss 3.928516
2022-04-18 02:42:04,843 Epoch 0 | Batch 370/600 | loss 3.781172 | avg_loss 3.919094
2022-04-18 02:42:06,136 Epoch 0 | Batch 380/600 | loss 3.331237 | avg_loss 3.907276
2022-04-18 02:42:07,336 Epoch 0 | Batch 390/600 | loss 3.630444 | avg_loss 3.898527
2022-04-18 02:42:08,447 Epoch 0 | Batch 400/600 | loss 3.575303 | avg_loss 3.889924
2022-04-18 02:42:09,662 Epoch 0 | Batch 410/600 | loss 3.353546 | avg_loss 3.880137
